id,palabra,word,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,imaginabilidad_m,imaginabilidad_sd,disponiblidad_contextual_m,disponibilidad_contextual_sd,familiaridad_m,familiaridad_sd,categoria_palabra
226,"cantidad","amount",5.38,1.32,4.73,1.80,2.05,1.12,2.80,1.61,3.59,2.06,6.55,0.89,1
227,"caña","cane",5.14,1.35,4.45,1.18,5.20,1.44,6.24,0.94,6.00,1.49,5.86,1.46,1
228,"cañón","canyon",2.95,1.72,5.80,1.94,6.35,0.88,6.55,1.36,4.50,2.12,5.14,1.80,1
229,"capa","layer",5.19,0.68,3.95,1.70,5.85,1.14,6.41,0.85,5.05,2.26,5.45,1.53,1
230,"capacidad","capacity",7.13,1.32,4.73,2.57,2.65,1.60,2.00,1.24,2.82,1.47,6.25,1.21,1
231,"capilla","chapel",3.91,1.38,4.05,2.01,5.90,1.26,5.86,1.15,5.09,1.85,4.50,1.87,1
232,"capital","capital",5.33,0.80,4.50,1.88,4.00,2.24,4.96,1.66,5.10,2.15,6.39,0.84,1
233,"capitán","captain",5.22,1.57,3.95,2.61,5.71,1.45,5.57,1.16,4.82,2.20,5.65,1.92,1
234,"capricho","whim",5.48,2.02,5.55,1.82,2.95,1.61,2.14,1.46,4.05,2.21,5.60,1.79,1
235,"carcajada","laugh",8.33,0.66,4.81,2.96,5.55,1.53,6.15,1.27,6.17,1.37,6.00,1.05,1
236,"carcelero","jailer",3.39,1.20,5.30,2.34,5.00,1.66,4.05,1.86,4.00,2.30,4.19,1.97,1
237,"cardenal","cardinal",3.81,1.47,4.85,1.95,5.18,1.65,4.86,1.85,3.55,2.19,3.90,2.25,1
238,"carga","load",3.80,1.28,4.91,2.04,3.74,1.81,4.35,2.06,4.09,2.41,5.19,1.60,1
239,"caricia","caress",8.10,1.04,4.15,3.08,4.55,1.54,5.35,1.23,6.20,1.20,6.50,0.67,1
240,"caridad","charity",6.50,2.69,4.32,1.86,3.91,1.78,3.13,1.79,4.83,2.29,5.24,1.41,1
241,"cariño","love",8.58,0.72,4.86,3.28,3.50,1.79,4.19,2.04,5.55,1.79,6.82,0.50,1
242,"cariñoso","affectionate",7.35,1.46,4.48,2.69,4.30,1.49,4.15,1.42,5.65,1.84,6.68,0.89,1
243,"carmín","carmine",5.67,0.91,4.25,1.83,5.65,1.39,5.14,1.81,3.55,2.15,4.55,2.06,1
244,"carnicería","butchery",4.15,1.39,5.60,1.79,6.22,1.31,6.78,0.52,6.05,1.21,5.95,1.40,1
245,"carpeta","folder",5.17,0.98,3.90,1.83,6.05,1.46,6.77,0.53,6.64,0.58,6.62,0.59,1
246,"cartel","poster",5.25,0.70,3.65,1.99,4.41,2.22,6.38,1.02,4.67,1.85,6.10,0.94,1
247,"carterista","pickpocket",2.23,1.45,6.65,1.81,5.81,1.33,4.50,1.99,5.00,1.85,5.04,1.92,1
248,"casaca","coat",5.08,0.98,3.85,1.79,5.48,1.63,4.70,2.39,2.09,1.69,2.38,1.66,1
249,"casco","helmet",5.00,0.98,3.50,1.82,6.00,0.97,6.43,0.98,5.80,1.82,6.05,1.72,1
250,"caseta","stand",4.90,0.91,4.15,1.79,4.10,1.84,5.95,1.17,4.68,2.01,5.60,1.43,1
251,"casino","casino",4.95,1.50,5.14,2.01,6.05,1.28,5.95,1.28,5.00,2.02,4.76,1.37,1
252,"castidad","chastity",2.41,1.40,4.45,1.39,5.45,1.87,2.85,1.18,2.83,2.04,3.80,2.21,1
253,"castillo","castle",6.09,1.54,4.15,2.30,6.15,0.93,6.81,0.40,5.36,1.92,6.00,1.23,1
254,"casualidad","chance",6.48,1.20,5.10,2.31,2.60,1.54,1.77,1.45,4.73,1.75,5.85,1.60,1
255,"catálogo","catalog",5.59,1.10,4.10,2.29,4.82,1.92,5.45,1.18,5.00,2.00,5.41,1.37,1
256,"cateto","hick",3.86,1.32,4.65,1.93,4.27,1.80,3.00,1.90,3.55,1.82,4.73,1.86,1
257,"caudal","flow",4.81,0.98,4.18,1.92,4.68,1.81,4.43,1.97,3.65,2.66,4.45,1.95,1
258,"cazadora","jacket",5.36,1.42,3.78,1.98,4.82,1.92,6.38,1.02,5.43,2.06,6.65,0.78,1
259,"cebolla","onion",3.61,1.56,3.59,2.22,6.75,0.55,6.95,0.21,6.18,1.10,6.87,0.34,1
260,"celador","warden",4.60,0.99,5.35,1.79,5.33,1.06,4.52,2.27,4.14,2.23,4.27,1.88,1
261,"celadora","warden",4.80,1.20,5.20,1.82,5.52,1.12,4.55,2.09,3.41,2.24,3.48,2.20,1
262,"celda","cell",2.65,1.43,5.75,2.73,5.71,1.62,6.23,0.97,5.23,1.95,4.82,1.44,1
263,"celo","zeal",4.75,1.55,5.00,2.41,4.00,1.69,5.33,2.06,5.00,2.09,5.40,1.67,1
264,"celos","jealousy",2.55,1.10,7.15,1.53,4.87,1.94,4.13,2.14,5.27,1.55,6.00,1.41,1
265,"célula","cell",5.20,0.62,4.27,1.64,5.36,1.65,4.86,1.85,2.91,1.85,5.27,1.61,1
266,"cementerio","cemetery",2.08,1.86,5.52,2.73,6.35,0.93,6.78,0.52,6.45,1.00,5.81,1.63,1
267,"cemento","cement",5.00,1.10,4.00,2.28,6.81,0.51,6.17,1.15,5.60,1.79,5.50,1.28,1
268,"cenicero","ashtray",4.39,1.56,4.05,1.84,6.70,0.57,6.91,0.29,5.77,1.66,5.75,1.83,1
269,"ceniza","ash",3.50,1.37,4.71,1.71,6.57,0.60,6.32,0.89,4.36,2.36,5.38,1.86,1
270,"centímetro","centimeter",4.83,1.27,3.10,1.92,5.90,1.41,4.05,1.99,3.90,2.31,6.00,0.95,1
271,"centuria","century",4.60,0.82,4.10,1.52,4.83,1.92,2.78,2.02,1.23,0.53,2.57,1.65,1
272,"cepillo","brush",5.24,0.54,3.91,1.80,5.91,1.57,6.65,0.93,6.00,1.45,6.35,0.93,1
273,"cerdo","pork",4.15,1.57,4.70,1.53,5.86,1.42,6.77,0.53,5.45,1.74,5.85,1.35,1
274,"certeza","certainty",6.65,1.07,3.85,2.58,3.25,2.00,1.90,0.79,2.45,1.41,5.25,1.80,1
275,"cerveza","beer",6.05,1.76,4.86,2.64,6.57,0.81,6.95,0.21,5.91,1.88,6.33,1.28,1
276,"cesta","basket",5.18,0.50,3.30,1.87,5.90,1.33,6.59,0.73,5.64,1.92,5.90,1.30,1
277,"chaleco","vest",5.13,0.34,3.95,1.76,6.70,0.47,6.87,0.46,5.32,1.73,6.22,1.20,1
278,"chalet","chalet",6.96,1.72,4.70,2.72,6.35,0.99,6.70,0.47,5.59,1.74,6.09,1.19,1
279,"champán","champagne",6.45,1.84,5.30,2.25,6.59,0.59,6.82,0.50,6.04,1.40,5.71,1.79,1
280,"champiñón","mushroom",5.43,0.87,3.95,1.39,6.65,1.14,6.90,0.30,5.91,1.63,5.55,1.67,1
281,"chándal","tracksuit",4.75,1.65,3.65,2.01,5.62,1.36,6.91,0.29,6.23,1.45,6.40,0.75,1
282,"chantajista","blackmailer",2.00,1.08,6.65,1.35,5.48,1.44,2.96,1.72,2.68,1.84,5.18,1.33,1
283,"charca","pond",5.00,0.98,3.50,1.60,6.00,1.38,6.05,1.21,4.36,1.97,4.95,1.75,1
284,"cheque","paycheck",7.65,1.04,7.00,1.95,5.73,1.32,6.70,0.57,5.83,1.61,5.20,1.32,1
285,"chico","boy",5.50,1.32,4.25,1.77,5.00,1.65,6.77,0.61,5.55,1.90,6.62,0.92,1
286,"chillido","shriek",3.00,1.56,7.25,1.45,5.38,1.47,3.64,2.17,5.59,2.11,5.05,1.70,1
287,"china","China",5.32,1.04,4.10,1.89,6.14,0.99,5.95,1.29,5.35,1.79,5.90,1.25,1
288,"chocolate","chocolate",7.19,1.17,5.75,2.00,6.40,0.75,6.80,0.52,6.50,1.00,6.95,0.22,1
289,"chófer","driver",5.20,0.77,3.25,1.86,6.55,0.67,6.41,0.73,5.50,1.79,4.90,2.05,1
290,"chorizo","chorizo",4.55,1.23,4.45,1.82,5.80,1.58,6.77,0.61,6.15,1.42,6.18,1.30,1
291,"ciclo","cycle",5.20,1.15,4.32,1.76,2.77,1.77,3.52,2.11,4.00,2.63,5.05,1.47,1
292,"ciclón","cyclone",3.14,1.20,6.29,1.38,5.50,1.73,5.20,1.77,4.45,2.33,4.05,1.68,1
293,"ciempiés","centipede",4.43,1.29,4.77,2.07,6.65,1.14,6.68,0.57,3.85,2.25,5.43,1.94,1
294,"científica","scientific",7.25,1.45,4.75,1.92,4.38,1.66,5.41,2.02,5.50,1.41,6.00,0.97,1
295,"cigarrillo","cigarette",3.36,2.38,4.55,2.24,6.95,0.22,6.90,0.45,6.09,1.80,6.24,0.70,1
296,"cinturón","belt",4.65,1.09,3.65,1.73,5.90,1.51,6.90,0.31,6.05,1.89,6.74,0.54,1
297,"circulación","circulation",5.00,1.54,4.91,2.41,3.71,1.06,4.18,1.82,5.73,1.75,5.10,1.26,1
298,"círculo","circle",5.40,0.68,3.18,1.79,6.27,1.39,6.95,0.22,4.73,2.27,5.95,1.29,1
299,"cirujano","surgeon",5.71,1.85,6.62,1.96,6.41,0.59,6.65,0.67,5.90,1.62,5.27,1.75,1
300,"cisne","swan",6.95,1.05,2.45,1.79,6.59,1.10,6.68,0.72,5.57,1.78,4.90,2.07,1
301,"civilización","civilization",6.25,1.16,4.05,2.08,5.09,1.78,4.78,2.15,5.04,2.40,5.25,1.65,1
302,"claridad","clarity",6.70,1.36,2.95,2.31,2.77,1.34,2.65,1.43,3.32,1.99,5.62,1.28,1
303,"clase","class",5.41,1.18,4.41,1.59,4.55,2.06,6.20,1.06,6.14,1.58,6.81,0.51,1
304,"cliente","customer",5.82,0.85,4.75,2.57,4.75,2.00,5.38,1.75,5.82,1.44,6.48,0.98,1
305,"clima","climate",5.90,1.37,3.40,1.93,2.90,1.74,4.15,1.79,5.35,1.60,6.17,1.47,1
306,"cobarde","coward",2.91,1.44,5.73,2.14,4.77,1.93,2.90,1.61,4.68,1.94,5.35,1.39,1
307,"cocaína","cocaine",2.25,1.39,5.33,2.99,6.82,0.50,5.86,1.46,5.90,1.89,5.09,2.04,1
308,"coche","car",5.82,1.44,5.65,1.79,6.14,1.67,6.91,0.43,6.65,0.75,6.86,0.35,1
309,"coco","coconut",5.73,1.12,3.59,1.79,5.90,1.58,6.71,0.46,5.50,2.06,5.73,1.64,1
310,"cocodrilo","crocodile",3.85,1.23,6.85,1.98,6.95,0.21,6.75,0.44,5.00,2.28,5.68,1.52,1
311,"codicia","greed",2.74,1.39,6.05,1.94,2.85,1.90,2.45,1.47,2.14,1.13,3.95,2.06,1
312,"código","code",4.71,0.72,3.90,1.83,3.75,1.77,4.81,1.60,5.00,1.95,5.68,1.46,1
313,"codo","elbow",4.64,0.95,3.62,1.94,6.45,1.18,6.96,0.21,4.77,2.62,6.62,0.92,1
314,"coito","intercourse",7.43,1.16,7.86,0.99,5.95,1.15,5.60,1.47,5.64,1.81,5.38,1.24,1
315,"cojo","lame",3.31,1.54,5.00,1.52,5.19,1.97,5.50,1.64,4.45,2.15,5.90,1.12,3
316,"cola","tail",4.07,1.21,4.70,2.29,3.00,1.88,5.62,1.83,4.76,2.21,6.09,1.11,1
317,"colaboración","collaboration",7.45,0.76,4.91,2.16,3.26,1.84,3.70,1.72,4.83,2.29,5.77,1.41,1
318,"colapso","collapse",3.25,1.67,6.43,2.40,3.45,1.82,3.09,2.27,4.95,1.90,4.64,1.81,1
319,"cólera","anger",3.05,1.47,7.00,1.95,4.05,1.76,2.67,1.46,3.68,2.19,4.38,1.63,1
320,"colonia","colony",6.43,1.03,4.41,1.97,4.95,1.91,6.20,1.28,5.90,2.15,6.59,0.73,1
321,"columna","column",4.91,0.29,3.60,1.67,5.10,1.29,6.77,0.53,5.15,2.46,6.29,0.78,1
322,"coma","coma",2.81,1.47,3.95,2.40,3.90,1.74,5.86,1.59,5.10,2.45,6.24,1.09,1
323,"comadrona","midwife",7.00,1.34,5.45,1.93,6.74,0.54,5.87,1.52,4.64,1.87,3.10,1.61,1
324,"combinación","combination",5.45,0.91,3.70,1.81,3.09,1.69,1.77,0.97,3.68,1.70,4.68,1.76,1
325,"comedor","dining room",5.73,1.03,4.45,1.63,5.81,1.60,6.05,1.13,5.80,2.12,6.59,0.80,1
326,"comentario","comment",5.21,1.25,4.86,1.31,3.80,1.70,3.40,1.73,4.90,2.10,6.45,0.89,1
327,"comercio","trade",5.40,1.10,4.77,2.20,3.73,1.98,5.50,1.19,6.10,1.25,5.86,1.32,1
328,"cometa","comet",6.26,1.18,3.30,2.18,5.40,1.57,6.19,1.08,6.18,1.30,5.15,1.95,1
329,"comodidad","comfort",7.36,1.73,1.60,0.75,2.80,1.61,3.35,1.80,5.77,1.77,6.50,0.89,1
330,"compasión","compassion",4.30,2.51,4.23,2.64,2.25,1.33,2.48,0.81,4.41,2.09,6.10,1.37,1
331,"complacer","please",7.27,1.32,4.60,2.91,3.64,1.62,2.48,1.38,5.04,1.88,5.81,1.08,1
332,"complejo","complex",3.91,1.60,5.45,1.82,2.76,1.22,2.86,1.68,3.30,1.75,5.60,1.50,3
333,"complicación","complication",2.25,0.85,7.59,1.33,2.40,1.60,1.77,1.15,4.83,2.10,5.68,1.76,1
334,"compositora","composer",6.31,1.46,4.00,1.92,5.62,1.60,3.25,2.10,4.32,1.94,5.00,1.61,1
335,"compromiso","commitment",6.39,1.41,6.14,2.55,3.52,1.75,3.38,2.04,5.64,1.62,5.76,1.48,1
336,"comunicación","communication",7.25,1.07,4.09,2.27,3.17,1.47,4.61,2.27,5.70,1.94,6.32,0.89,1
337,"comunidad","community",6.59,1.37,4.00,2.05,3.67,1.83,3.27,1.80,5.32,1.81,5.14,1.68,1
338,"concesionario","dealer",5.54,1.53,4.25,1.55,6.10,1.22,6.60,1.14,5.14,1.78,5.27,1.83,3
339,"conciencia","consciousness",6.65,1.40,4.80,2.95,3.05,1.76,1.62,0.67,3.55,2.18,6.14,0.65,1
340,"concurso","competition",5.95,1.43,6.00,2.05,3.38,1.53,4.95,1.91,5.27,1.75,5.75,1.41,1
341,"condena","sentence",2.48,1.16,6.23,2.20,3.45,1.64,3.20,1.32,5.05,2.08,4.15,1.98,1
342,"condenado","condemned",1.92,0.93,6.75,2.02,4.71,1.82,4.25,1.94,4.05,1.89,4.38,1.94,1
343,"condesa","countess",4.70,1.63,4.45,1.96,5.43,1.29,4.68,1.89,3.27,2.21,3.91,1.44,1
344,"condición","condition",4.79,1.28,5.43,0.98,2.27,1.35,1.45,0.91,3.05,2.11,5.95,1.32,1
345,"condón","condom",6.60,1.85,5.64,2.68,6.82,0.50,6.81,0.40,6.48,0.73,6.43,0.81,1
346,"conducto","duct",4.80,1.01,4.14,1.62,4.52,1.97,5.70,1.79,3.95,2.44,4.05,1.36,1
347,"conductor","conductor",5.29,1.15,4.96,1.97,4.14,2.01,5.43,2.06,6.19,1.29,6.65,0.93,1
348,"conferencia","conference",5.30,1.33,3.59,2.17,4.80,1.67,5.20,1.36,5.55,1.44,5.30,1.69,1
349,"conflicto","conflict",2.27,1.42,7.65,1.04,2.95,1.54,3.76,1.51,5.04,1.60,5.73,1.32,1
350,"conjunto","set",5.32,1.52,4.65,2.03,2.15,1.46,2.55,1.87,3.33,2.22,5.65,1.63,3
351,"conjuro","spell",4.91,1.11,5.20,1.61,3.70,2.15,3.05,1.50,4.04,2.44,3.76,1.89,1
352,"conquista","conquest",6.14,1.91,6.05,2.16,3.95,1.96,3.05,1.68,5.00,1.98,5.55,1.76,1
353,"consejo","advice",5.85,1.14,4.05,1.88,3.95,1.84,2.14,1.64,4.60,1.90,6.62,0.59,1
354,"consolador","dildo",5.73,1.46,6.10,1.68,4.86,1.65,6.25,1.41,4.77,2.11,4.95,1.84,1
355,"conspiración","conspiracy",3.41,1.84,5.65,2.60,3.50,1.92,2.65,1.75,2.50,1.71,4.23,1.69,1
356,"contaminación","contamination",1.90,1.07,6.55,1.95,4.30,1.61,5.70,1.84,5.78,1.76,6.30,1.08,1
357,"contenido","content",5.14,0.79,3.95,1.59,3.50,2.12,2.09,1.15,3.50,1.87,5.70,1.59,1
358,"contexto","context",5.23,0.61,4.32,1.70,2.59,1.56,2.30,1.22,3.14,2.23,5.75,1.41,1
359,"contrariedad","contrariness",3.27,1.12,6.05,1.76,2.50,1.54,1.77,1.38,3.42,2.02,4.45,2.02,1
360,"contrincante","opponent",3.95,1.47,6.70,1.78,5.61,1.44,2.45,1.70,3.86,1.98,4.76,2.17,1
361,"convivir","to live together with",6.95,0.94,5.05,2.38,4.39,1.80,4.65,2.04,5.52,2.00,6.19,1.12,1
362,"copa","glass",5.70,1.63,4.36,2.17,6.00,1.08,6.65,0.93,6.75,0.44,6.45,0.67,1
363,"coral","coral",5.71,1.06,3.95,1.56,5.09,1.72,5.82,1.18,5.15,2.39,4.80,1.51,1
364,"corazón","heart",7.05,1.36,5.50,2.18,5.41,1.62,6.55,0.83,6.25,1.45,6.75,0.64,1
365,"corbata","tie",4.96,1.15,4.40,2.01,6.68,0.57,6.91,0.29,6.55,0.80,5.91,1.60,1
366,"corcho","cork",5.05,1.21,3.73,1.86,6.30,1.08,6.14,1.24,5.23,2.18,5.67,1.24,1
367,"cordero","lamb",5.24,1.22,4.05,1.86,6.41,1.01,6.55,0.74,5.14,2.08,5.95,1.32,1
368,"corrección","correction",4.86,1.11,5.14,2.01,3.29,1.68,2.77,2.07,4.68,1.76,5.87,1.71,1
369,"corredor","runner",4.82,1.50,4.91,1.93,4.86,1.74,6.14,0.94,4.10,2.20,4.90,1.86,1
370,"corredora","brokerage",5.46,1.14,4.48,2.11,4.32,1.96,5.10,1.89,4.10,1.97,5.48,1.56,1
371,"corte","court",3.14,1.11,6.55,1.71,3.81,1.83,4.91,1.85,5.40,1.96,6.35,1.19,1
372,"corteza","cortex",4.62,0.97,3.82,1.74,4.27,1.91,5.14,1.83,4.50,2.52,6.09,1.28,1
373,"costo","cost",4.48,2.16,4.59,2.13,3.19,2.02,2.68,2.21,3.45,2.35,4.78,1.68,1
374,"costumbre","costum",5.10,1.48,3.27,1.49,3.09,1.63,2.00,1.41,4.59,2.04,6.00,1.07,1
375,"cráneo","skull",4.95,0.67,5.25,1.86,6.60,0.60,5.95,1.75,5.41,2.09,5.77,1.63,1
376,"creación","creation",7.00,1.48,6.15,2.16,1.82,1.05,2.62,1.69,4.75,2.09,4.76,1.73,1
377,"creatividad","creativity",8.14,0.77,5.95,2.16,3.00,1.78,2.10,1.17,5.50,1.82,5.52,1.78,1
378,"crecimiento","growth",7.26,1.14,5.55,2.72,3.45,1.73,3.13,1.42,5.41,1.87,6.55,1.10,1
379,"creencia","belief",5.50,1.37,4.15,2.01,3.05,2.06,2.20,2.14,4.00,2.11,5.25,1.48,1
380,"crisis","crisis",1.76,0.89,7.43,1.03,3.45,1.73,3.95,2.01,5.40,2.04,6.45,1.44,1
381,"cristal","crystal",5.00,0.90,4.04,2.14,4.05,2.26,6.48,1.08,4.90,2.19,6.10,1.41,1
382,"criterio","criterion",6.39,1.50,4.73,2.45,1.90,1.07,1.41,0.73,3.00,1.95,6.30,1.42,1
383,"crucero","cruise",7.38,1.84,5.05,2.99,5.65,1.04,5.91,1.38,6.60,0.68,5.91,1.70,1
384,"crucifijo","crucifix",3.50,2.19,5.14,2.37,6.41,0.67,6.19,1.47,4.70,2.36,5.05,1.94,1
385,"crucifixión","crucifixion",2.18,1.37,6.95,1.70,3.90,2.02,5.50,1.96,3.55,2.20,3.14,2.06,1
386,"crueldad","cruelty",1.14,0.47,7.50,1.32,3.75,1.83,2.65,1.81,3.78,1.78,5.50,1.87,1
387,"cruz","cross",3.85,1.39,4.00,1.90,5.75,1.02,6.70,0.57,5.04,2.01,5.81,1.47,1
388,"cuaderno","notebook",5.14,0.89,4.25,1.59,6.14,1.17,6.81,0.40,5.50,2.11,6.32,1.36,1
389,"cuadrado","square",4.90,0.44,3.45,1.82,5.59,1.87,6.70,0.92,4.95,2.54,6.27,1.20,3
390,"cuadro","box",5.45,1.15,3.68,1.81,5.55,1.47,6.80,0.52,5.40,1.79,6.32,0.95,1
391,"cuarto","room",5.12,1.42,3.60,1.54,4.10,2.14,4.85,2.08,5.18,2.08,6.68,0.57,3
392,"cubo","cube",4.90,0.30,3.36,1.87,5.64,1.59,6.75,0.91,5.50,2.31,6.18,1.33,1
393,"cuchillo","knife",4.30,1.74,5.75,2.38,6.73,0.46,6.86,0.35,6.23,1.54,6.83,0.49,1
394,"cuenco","bowl",4.78,1.13,3.65,1.84,5.73,1.45,6.74,0.92,5.27,1.78,5.27,2.00,1
395,"cuervo","crow",4.19,0.98,5.14,2.27,6.65,0.65,6.65,0.71,4.14,2.68,5.18,1.74,1
396,"cuestión","question",5.00,1.07,5.00,1.62,2.30,1.72,2.73,2.03,3.33,2.14,6.55,0.94,1
397,"cueva","cave",4.78,0.95,5.40,2.56,6.41,0.80,6.68,0.57,5.32,2.12,5.43,1.78,1
398,"culebra","snake",3.57,1.54,6.60,1.96,6.30,0.80,6.20,1.44,3.87,2.24,4.40,1.96,1
399,"culpabilidad","guilt",1.82,1.01,6.20,3.16,3.75,2.07,2.10,1.59,4.39,1.99,5.50,1.43,1
400,"culto","worship",6.64,1.33,3.60,1.57,2.23,1.19,3.67,1.98,4.60,1.67,5.19,1.40,3
401,"cumpleaños","birthday",7.80,1.24,7.00,1.35,5.59,1.50,6.00,0.97,6.41,0.96,6.61,0.66,1
402,"curación","healing",7.55,1.43,3.05,2.40,3.41,1.56,3.25,1.21,4.35,2.29,5.05,1.39,1
403,"curandera","healer",4.65,1.35,5.05,1.76,4.71,1.49,4.55,1.68,4.23,2.16,3.59,1.79,1
404,"curandero","healer",5.15,1.97,4.40,2.04,5.38,1.28,3.75,2.15,4.05,2.21,3.82,1.76,1
405,"curso","course",5.05,1.25,4.95,2.28,3.14,1.39,3.17,1.37,6.35,1.18,6.36,0.79,1
406,"dama","lady",5.36,1.43,4.29,2.17,4.76,1.89,5.90,1.45,3.95,2.21,4.05,1.81,1
407,"década","decade",5.00,1.20,4.82,1.82,5.65,1.93,2.70,1.74,3.41,2.13,5.90,1.94,1
408,"decadencia","decline",2.25,1.48,5.24,2.45,2.36,1.33,2.48,1.50,3.15,2.21,4.24,1.45,1
409,"declive","decline",3.67,1.31,4.76,2.62,2.91,1.41,1.83,1.40,2.55,1.76,3.68,1.64,1
410,"decoro","decorum",5.27,0.70,3.45,1.73,3.78,1.68,2.87,1.96,3.45,1.97,2.76,1.81,1
411,"dedo","finger",4.90,1.04,4.27,1.83,6.64,0.90,6.80,0.70,5.91,1.74,6.87,0.34,1
412,"defecto","defect",3.43,1.24,5.64,2.22,3.29,1.85,2.36,1.36,4.45,1.97,6.05,0.86,1
413,"degeneración","degeneration",2.13,1.14,6.05,1.89,2.86,1.49,2.41,1.50,3.00,1.88,4.33,1.59,1
414,"degradación","degradation",2.63,1.44,5.10,2.45,3.10,1.74,2.45,1.26,2.60,1.98,5.05,2.21,1
415,"delantal","smock",5.52,1.31,3.30,1.89,6.60,0.75,6.68,0.57,5.68,1.86,5.67,1.20,1
416,"delirio","delirium",3.25,1.85,6.29,1.95,3.30,1.78,2.00,1.15,3.15,2.11,4.71,1.35,1
417,"dependienta","clerk",5.20,1.06,4.60,1.85,4.38,1.96,6.41,1.10,6.45,1.01,5.86,1.13,1
418,"deportista","athlete",6.27,1.34,5.75,2.43,4.95,1.99,5.95,1.43,5.86,1.39,6.62,1.12,1
419,"depresión","depression",2.20,1.01,5.81,2.52,2.50,1.10,3.68,1.94,5.15,2.23,6.18,1.14,1
420,"derecha","right",4.95,0.58,4.38,2.27,5.14,1.75,3.82,1.62,4.95,2.06,6.73,0.55,1
421,"desafío","challenge",5.77,1.63,6.95,2.06,3.25,1.92,2.20,1.54,3.83,2.12,5.60,1.64,1
422,"desagrado","displeasure",2.22,0.90,7.20,1.40,2.55,1.61,3.14,1.46,3.14,1.64,4.80,1.64,1
423,"desahogo","relief",6.23,1.90,3.45,2.56,3.90,1.67,2.33,1.39,4.13,2.07,4.95,1.72,1
424,"desánimo","despondency",1.75,0.85,4.05,2.71,3.15,1.69,2.50,1.47,4.70,2.11,5.85,1.42,1
425,"desaparecer","to disappear",2.96,2.16,5.68,2.98,3.35,2.08,3.52,1.72,4.73,2.39,5.86,1.25,2
426,"desaparición","disappearance",1.86,1.86,7.50,1.88,3.35,1.93,2.45,1.32,5.05,1.81,4.81,1.94,1
427,"descenso","decrease",3.09,1.23,4.95,2.31,3.55,1.67,3.52,1.47,3.79,2.08,5.75,1.45,1
428,"desconfianza","distrust",2.40,1.27,7.27,1.24,2.41,1.18,1.91,1.27,4.00,2.45,5.87,1.66,1
429,"desconsuelo","grief",2.21,1.35,5.38,2.80,2.36,1.26,2.95,1.72,3.50,1.70,4.35,2.01,1
430,"descontento","discontent",1.91,1.08,5.41,2.75,3.57,1.96,2.87,1.46,4.82,2.11,5.00,2.02,1
431,"deseo","desire",7.30,1.34,7.05,1.33,2.90,1.71,2.60,1.43,5.36,1.79,6.55,0.83,1
432,"desesperado","desperate",2.25,1.41,6.86,1.28,4.78,1.54,4.39,1.99,5.18,1.97,5.73,1.72,1
433,"desgaste","wear",3.25,1.21,4.82,1.94,3.43,1.99,3.59,1.79,3.57,2.33,5.75,1.41,1
434,"desierto","desert",3.96,1.80,3.09,2.29,5.38,1.86,6.68,0.57,6.41,1.30,6.05,1.25,3
435,"desigualdad","inequality",1.55,1.10,5.95,1.86,2.35,1.50,3.40,1.60,4.30,1.94,5.25,2.00,1
436,"desolación","desolation",1.74,1.01,6.45,2.61,3.82,2.20,3.00,1.85,2.95,1.96,4.80,1.54,1
437,"desorden","disorder",2.91,1.38,7.50,1.43,4.19,1.60,4.68,1.62,6.09,1.06,6.15,1.27,1
438,"despacho","office",4.81,1.17,4.09,1.69,6.38,1.02,6.55,0.80,5.64,1.71,6.15,1.18,1
439,"despilfarro","waste",3.48,1.78,6.45,2.09,3.10,2.02,3.15,1.53,4.41,2.24,4.86,1.53,1
440,"desprecio","contempt",1.55,0.67,6.30,2.00,3.25,1.83,2.90,1.92,3.95,1.65,5.64,1.18,1
441,"despreocupado","carefree",5.55,2.19,3.65,2.08,3.95,2.09,2.67,1.80,3.55,2.11,5.74,1.54,1
442,"destino","destiny",5.83,1.92,5.80,2.42,2.36,1.68,2.43,1.50,4.77,2.18,5.43,1.60,1
443,"destreza","skill",6.73,1.28,3.90,2.29,3.20,1.88,1.73,0.98,4.27,2.05,5.30,1.84,1
444,"destrucción","destruction",1.55,0.67,7.50,2.14,3.70,1.78,4.55,1.85,4.52,2.11,5.14,1.85,1
445,"desván","attic",5.09,1.24,5.00,2.15,6.05,1.28,5.57,1.78,5.05,2.36,5.24,1.76,1
446,"desviación","deviation",4.27,0.94,4.43,1.54,2.82,1.37,3.00,2.00,3.59,2.24,5.09,1.47,1
447,"detergente","detergent",5.09,1.19,4.20,1.99,6.32,1.04,5.95,1.73,6.18,1.10,6.09,1.41,1
448,"deterioro","deterioration",2.18,1.01,5.45,1.99,2.70,1.45,3.35,1.42,4.00,2.20,4.27,1.88,1
449,"diablo","devil",3.45,1.43,6.18,1.65,4.76,2.19,6.43,1.12,5.25,1.97,5.91,1.65,1
450,"diamante","diamond",7.25,1.37,4.70,2.13,5.95,1.47,6.64,0.58,5.18,2.22,5.76,1.51,1
451,"diccionario","dictionary",5.05,1.05,3.65,1.57,6.75,0.55,6.82,0.39,6.09,1.72,6.41,1.10,1
452,"diente","tooth",5.09,0.61,4.00,1.62,6.10,1.61,6.91,0.43,6.20,1.44,6.76,0.54,1
453,"dieta","diet",5.50,1.22,4.50,1.73,4.95,1.43,3.65,1.61,6.05,1.88,6.09,1.41,1
