id;palabra;gender;number;categoria_palabra;pos_tag;translation_en;source;freq_absoluta;freq_normalizada
357;prestigio;Masc;Sing;1;NOUN;prestige;redondo_2005;5,317;34.85
358;pretendiente;;Sing;1;NOUN;suitor;redondo_2005;290;1.90
359;primavera;Fem;Sing;1;NOUN;spring;redondo_2005;5,076;33.27
360;primo;Masc;Sing;3;ADJ;;redondo_2005;3,308;21.68
361;prisión;Fem;Sing;1;NOUN;prison;redondo_2005;7,854;51.48
362;probabilidad;Fem;Sing;1;NOUN;probability;redondo_2005;2,647;17.35
363;procedencia;Fem;Sing;1;NOUN;origin;redondo_2005;2,055;13.47
364;producto;Masc;Sing;1;NOUN;product;redondo_2005;16,851;110.45
365;profesión;Fem;Sing;1;NOUN;profession;redondo_2005;4,933;32.33
366;propiedad;Fem;Sing;1;NOUN;property;redondo_2005;12,768;83.69
367;propietario;Masc;Sing;3;ADJ;owner;redondo_2005;3,465;22.71
368;proporción;Fem;Sing;1;NOUN;proportion;redondo_2005;4,906;32.15
369;protagonista;;Sing;1;NOUN;protagonist;redondo_2005;5,739;37.61
370;provincia;Fem;Sing;1;NOUN;Province;redondo_2005;10,775;70.62
371;puerto;Masc;Sing;1;NOUN;port;redondo_2005;16,749;109.78
372;puesto;;;3;ADJ;;redondo_2005;33,254;217.97
373;quimera;Fem;Sing;1;NOUN;chimera;redondo_2005;452;2.96
374;química;Fem;Sing;1;NOUN;chemistry;redondo_2005;4,633;30.36
375;rastro;Masc;Sing;1;NOUN;trail;redondo_2005;1,87;12.25
376;razonamiento;Masc;Sing;1;NOUN;;redondo_2005;1,533;10.04
377;reacción;Fem;Sing;1;NOUN;;redondo_2005;9,17;60.10
378;realización;Fem;Sing;1;NOUN;realization;redondo_2005;8,115;53.19
379;rebelión;Fem;Sing;1;NOUN;;redondo_2005;2,245;14.71
380;reconocimiento;Masc;Sing;1;NOUN;recognition;redondo_2005;8,149;53.41
381;reconstrucción;Fem;Sing;1;NOUN;reconstruction;redondo_2005;2,525;16.55
382;redacción;Fem;Sing;1;NOUN;drafting;redondo_2005;6,419;42.07
383;régimen;Masc;Sing;1;NOUN;regime;redondo_2005;18,382;120.49
384;remedio;Masc;Sing;1;NOUN;remedy;redondo_2005;5,577;36.55
385;réplica;Fem;Sing;1;NOUN;;redondo_2005;1,371;8.98
386;reposo;;;1;NOUN;;redondo_2005;2,288;14.99
387;representación;Fem;Sing;1;NOUN;;redondo_2005;11,005;72.13
388;republicano;Masc;Sing;1;NOUN;republicano;redondo_2005;2,691;17.63
389;resistencia;Fem;Sing;1;NOUN;resistencia;redondo_2005;8,358;54.78
