id,palabra,edad_de_adquisicion_m,edad_de_adquisicion_sd,categoria_palabra
1838,"votar",8.42,2.251,1
1839,"votos",8.06,1.942,2
1840,"vuela",3.80,1.938,1
1841,"vuelo",5.70,2.270,2
1842,"yarda",10.38,1.141,2
1843,"yegua",5.12,2.125,2
1844,"yendo",7.22,2.410,1
1845,"yerno",9.08,1.816,2
1846,"yogur",2.70,1.389,2
1847,"zaire",10.41,1.117,2
1848,"zarpa",8.56,2.140,2
1849,"zonas",7.40,1.959,2
1850,"zorra",5.70,2.517,2
1851,"zorro",4.68,2.045,2
1852,"zurda",5.30,1.619,2
1853,"zurra",9.12,2.404,2
1854,"abejas",4.02,1.732,2
1855,"abismo",9.30,1.644,2
1856,"aborto",9.68,1.708,2
1857,"abrazo",2.86,1.552,2
1858,"abrigo",3.98,1.545,2
1859,"abuela",2.72,1.310,2
1860,"abuelo",2.32,1.285,2
1861,"acaban",5.58,1.513,1
1862,"acabar",3.46,1.581,1
1863,"acción",6.82,1.859,2
1864,"acecho",9.06,2.304,2
1865,"aceite",5.50,1.764,2
1866,"acento",7.50,1.940,2
1867,"actriz",6.56,1.864,2
1868,"actual",8.64,1.903,3
1869,"actuar",6.40,1.829,1
1870,"ademán",10.18,1.662,2
1871,"además",6.48,2.261,4
1872,"adicto",8.88,1.466,2
1873,"adorno",5.52,1.787,2
1874,"adulto",6.54,2.206,3
1875,"afecta",8.04,1.969,1
1876,"afecto",8.56,2.242,2
1877,"áfrica",7.80,2.030,2
1878,"agenda",7.66,2.076,2
1879,"agobio",9.36,1.914,2
1880,"agonía",9.68,1.571,2
1881,"agosto",4.78,1.298,4
1882,"agrado",8.16,2.436,2
1883,"águila",5.22,2.063,2
1884,"agusto",7.58,2.500,2
1885,"ahorro",7.98,2.478,2
1886,"alarma",6.20,1.979,2
1887,"alcoba",8.82,2.585,2
1888,"alegre",4.84,1.931,3
1889,"alejar",6.48,2.384,1
1890,"alemán",6.92,2.202,3
1891,"alerta",7.02,2.254,2
1892,"alguna",4.60,1.796,4
1893,"alguno",5.56,1.991,4
1894,"alivio",8.02,1.953,2
1895,"almeja",7.44,2.187,2
1896,"altura",5.26,1.700,2
1897,"alumno",5.28,1.642,2
1898,"amable",5.88,1.837,3
1899,"amante",8.96,1.895,2
1900,"amargo",4.34,1.768,3
1901,"amigas",3.94,1.376,2
1902,"amigos",3.68,1.236,2
1903,"amplio",8.18,1.859,3
1904,"angora",10.50,1.182,2
1905,"anhelo",9.70,1.717,2
1906,"anillo",4.02,1.857,2
1907,"animal",3.24,1.393,2
1908,"animar",6.60,1.884,1
1909,"anoche",4.94,1.621,4
1910,"anorak",8.30,2.659,2
1911,"antena",6.42,1.928,2
1912,"antojo",8.32,2.351,2
1913,"anudar",7.16,2.979,1
1914,"apache",8.74,2.098,2
1915,"apagar",3.78,1.645,1
1916,"aparte",7.38,1.627,4
1917,"apatía",10.54,0.838,2
1918,"apenas",7.78,1.723,4
1919,"apogeo",10.78,0.545,2
1920,"apuros",8.06,2.004,2
1921,"arriba",3.56,1.373,4
1922,"arroyo",7.74,2.414,2
1923,"arruga",6.82,2.145,2
1924,"ártico",8.38,2.098,2
1925,"asalto",8.38,1.947,2
1926,"áspero",7.70,2.306,3
1927,"astuto",9.36,1.549,3
1928,"asumir",9.24,1.685,1
1929,"ataque",7.38,2.108,2
1930,"atenas",9.52,1.359,2
1931,"ateneo",10.68,0.741,2
1932,"atento",6.30,2.252,3
1933,"atleta",7.30,2.159,2
1934,"atraco",7.86,1.321,2
1935,"aunque",6.70,1.876,4
1936,"aurora",9.28,2.195,2
1937,"avance",8.84,1.942,2
1938,"avería",7.68,1.708,2
1939,"avispa",5.44,2.091,2
1940,"ayudar",4.54,1.971,1
1941,"azotea",5.52,1.887,2
1942,"azúcar",3.76,1.611,2
1943,"azufre",9.44,1.853,2
1944,"azules",3.48,1.729,3
1945,"bailar",4.44,2.434,1
1946,"bajada",4.78,1.776,3
1947,"balcón",5.30,1.919,2
1948,"ballet",6.12,2.210,2
1949,"banana",4.94,2.170,2
1950,"bancos",5.96,2.070,2
1951,"bañera",3.10,1.542,2
1952,"baraja",6.88,2.086,2
1953,"barata",6.53,2.103,3
1954,"barato",6.36,2.354,3
1955,"barbie",4.16,1.811,2
1956,"barita",5.76,2.162,2
1957,"barras",5.40,1.895,2
1958,"barrer",4.38,1.677,1
1959,"barril",6.90,2.215,2
1960,"barrio",5.66,1.768,2
1961,"básico",7.78,2.053,3
1962,"bastón",4.32,1.766,2
1963,"basura",3.56,1.643,2
1964,"batido",5.18,2.327,3
1965,"bebida",4.98,2.889,2
1966,"berlín",8.91,1.409,2
1967,"bestia",5.48,1.876,2
1968,"biblia",6.00,1.906,2
1969,"bíceps",9.32,1.856,2
1970,"bigote",4.20,1.773,2
1971,"bilbao",8.52,2.053,2
1972,"billar",7.16,2.342,2
1973,"blanca",3.54,2.012,3
1974,"blanco",3.08,1.426,3
1975,"blanda",5.04,2.194,3
1976,"blando",4.30,1.764,3
1977,"blasón",10.80,0.670,2
1978,"blusón",7.88,2.379,2
1979,"bobada",5.86,2.167,2
1980,"bocata",4.86,2.232,2
1981,"boceto",9.54,1.555,2
1982,"bodega",7.62,1.937,2
1983,"bolsas",4.36,1.601,2
1984,"bondad",8.18,1.987,2
1985,"bonita",3.58,1.939,3
1986,"bonito",3.86,1.796,3
1987,"boreal",10.16,1.390,3
1988,"borrar",4.08,1.469,1
1989,"bosque",4.40,1.807,2
1990,"botica",8.72,1.928,2
1991,"bóveda",9.86,1.457,2
1992,"bragas",3.02,1.436,2
1993,"brasil",7.86,1.690,2
1994,"brillo",6.34,2.086,2
1995,"brocha",7.06,2.132,2
1996,"bronca",5.96,1.989,3
1997,"bronce",7.84,2.014,2
1998,"brujas",5.00,1.641,2
1999,"brutal",8.02,2.045,3
2000,"buenas",4.58,2.434,3
2001,"buenos",3.34,1.334,2
2002,"búfalo",6.76,2.143,2
2003,"buitre",6.72,1.980,2
2004,"burdel",10.42,0.950,2
2005,"burgos",8.96,1.714,2
2006,"buscar",4.88,1.891,1
2007,"butaca",6.56,2.340,2
2008,"butano",7.52,2.150,3
2009,"cabaña",6.30,1.644,2
2010,"cabeza",3.12,1.560,2
2011,"cabina",6.46,1.951,2
2012,"cables",5.60,1.616,2
2013,"cabras",4.66,2.115,3
2014,"cabreo",6.24,2.584,2
2015,"cabrón",6.44,2.287,2
2016,"cadena",6.20,2.157,2
2017,"cadera",6.38,1.783,2
2018,"cálido",7.60,1.959,3
2019,"calles",4.92,1.482,2
2020,"calmar",5.54,2.243,1
2021,"cámara",5.26,2.088,2
2022,"cambia",4.78,1.765,1
2023,"cambio",6.50,2.150,2
2024,"camino",4.50,1.865,2
2025,"camión",3.04,1.498,2
2026,"camisa",3.52,1.432,2
2027,"campos",5.12,1.710,2
2028,"canadá",8.90,1.876,2
2029,"cáncer",9.84,1.251,2
2030,"candil",8.80,2.259,2
2031,"canela",7.08,2.184,3
2032,"canica",4.98,1.985,2
2033,"cantar",3.22,1.217,1
2034,"capote",9.46,1.832,2
2035,"carbón",5.18,2.145,2
2036,"cárcel",6.02,2.162,2
2037,"caribe",8.66,1.825,2
2038,"caries",6.60,2.127,2
2039,"cariño",4.18,2.047,2
2040,"carlos",3.70,1.821,2
2041,"carmen",3.76,1.661,2
2042,"carmín",7.54,2.392,3
2043,"cartas",5.30,1.681,2
2044,"cartel",5.64,2.058,2
2045,"cartón",4.70,1.776,2
2046,"casado",6.40,2.070,3
2047,"casero",8.68,1.953,3
2048,"caseta",4.42,1.715,2
2049,"casino",8.74,1.676,2
2050,"casita",2.84,1.251,2
2051,"casual",9.34,1.710,3
2052,"causas",7.82,2.265,2
2053,"célula",9.40,1.666,2
2054,"ceniza",6.42,1.864,3
2055,"centro",4.18,1.913,2
2056,"cerdos",4.32,1.634,2
2057,"cereal",5.58,1.751,3
2058,"cereza",5.20,2.321,2
2059,"cerezo",6.92,2.174,2
2060,"cerrar",3.28,1.457,1
2061,"césped",5.78,1.855,2
2062,"chalet",7.26,2.155,2
2063,"champú",4.34,1.814,2
2064,"chapar",9.36,1.977,1
2065,"charca",6.62,2.098,2
2066,"charco",4.68,1.544,2
2067,"charla",7.14,2.277,2
2068,"chaval",7.72,2.313,2
2069,"cheque",8.92,1.998,2
2070,"chicas",3.82,1.650,2
2071,"chicle",4.32,2.045,2
2072,"chicos",3.74,1.397,2
2073,"chiste",5.66,1.825,2
2074,"chófer",6.48,2.234,2
2075,"choque",5.10,2.023,2
2076,"chucho",3.60,2.390,2
2077,"ciclón",8.80,2.040,2
2078,"cielos",4.82,2.135,2
2079,"ciento",6.16,1.910,2
2080,"cierre",5.42,1.896,2
2081,"cierta",7.52,2.270,4
2082,"cierto",7.42,1.808,3
2083,"ciervo",4.56,2.002,2
2084,"ciudad",4.98,1.813,2
2085,"clases",4.46,1.474,2
2086,"clavar",5.68,1.932,1
2087,"clavel",6.02,2.352,2
2088,"cobijo",9.08,2.088,2
2089,"cobrar",7.48,2.121,1
2090,"coches",3.30,1.542,2
2091,"cocido",6.48,2.215,2
2092,"cocina",3.60,1.616,2
2093,"código",9.10,2.003,2
2094,"cogido",5.88,2.387,1
2095,"cohete",4.90,1.729,2
2096,"colada",8.50,2.297,2
2097,"colega",7.98,2.403,2
2098,"cólera",9.66,1.912,2
2099,"coleta",4.04,1.511,2
2100,"colgar",4.66,1.836,1
2101,"colina",7.30,2.043,2
2102,"collar",3.64,1.601,2
2103,"cometa",4.78,1.753,1
2104,"cómico",7.36,2.456,3
2105,"comida",2.46,1.265,2
2106,"comité",10.36,1.306,2
2107,"cómoda",7.04,2.507,3
2108,"cómodo",5.88,2.210,3
2109,"compás",7.72,2.031,2
2110,"compra",4.24,1.965,2
2111,"concha",5.64,2.087,2
2112,"conejo",2.88,1.304,2
2113,"cónica",10.42,0.928,3
2114,"conoce",5.62,2.098,1
2115,"cónsul",10.44,1.091,2
2116,"contar",4.62,2.147,1
2117,"contra",6.34,2.264,4
2118,"copiar",5.70,1.681,1
2119,"coraje",8.84,2.179,2
2120,"corcho",6.38,2.320,2
2121,"cordón",4.68,1.684,2
2122,"corona",4.54,1.446,2
2123,"corpus",9.46,2.043,2
2124,"corral",6.14,2.119,2
2125,"correa",6.06,2.113,2
2126,"correo",6.52,1.982,2
2127,"correr",2.66,1.239,1
2128,"cortar",4.04,1.538,1
2129,"cortas",5.06,1.504,3
2130,"cortos",4.70,2.003,3
2131,"coruña",9.26,1.651,2
2132,"costar",6.32,1.994,1
2133,"cráneo",8.18,1.662,2
2134,"creado",7.04,1.884,3
2135,"creído",7.74,1.893,1
2136,"cresta",6.82,2.447,2
2137,"criada",7.02,1.755,2
2138,"criado",7.36,2.107,3
2139,"crimen",8.10,2.073,2
2140,"crisis",8.84,2.014,2
2141,"cristo",5.98,1.995,2
2142,"cruzar",4.82,1.903,1
2143,"cuadro",4.46,1.446,2
2144,"cuales",5.12,2.545,4
2145,"cuáles",5.26,1.782,4
2146,"cuando",4.60,1.505,4
2147,"cuándo",5.00,2.167,4
2148,"cuanto",4.54,1.854,4
2149,"cuánto",4.68,1.609,4
2150,"cuarta",5.92,2.057,3
2151,"cuarto",3.78,1.970,2
2152,"cuatro",3.32,1.070,4
2153,"cubata",10.56,0.929,2
2154,"cubito",6.46,2.984,2
2155,"cuello",3.50,1.619,2
2156,"cuenco",8.00,2.416,2
2157,"cuenta",6.46,2.159,2
2158,"cuento",3.22,1.569,2
2159,"cuerda",4.36,1.453,3
2160,"cuerno",4.80,2.268,2
2161,"cuerpo",3.66,1.394,2
2162,"cuervo",6.32,2.035,2
2163,"cuesta",5.82,2.182,1
2164,"cuidar",4.60,1.591,1
2165,"cumbre",6.94,2.064,2
2166,"cúmulo",10.36,1.306,2
2167,"cuñado",7.20,2.458,2
2168,"cupido",8.00,1.738,2
2169,"cúpula",9.52,1.854,2
2170,"cursos",5.98,1.911,2
2171,"darwin",10.28,1.294,2
2172,"debajo",4.12,1.837,4
2173,"debate",9.34,1.423,2
2174,"debido",7.56,1.763,4
2175,"débito",10.68,0.978,2
2176,"década",8.92,1.589,2
2177,"decano",10.82,0.661,2
2178,"decena",7.06,1.671,2
2179,"decían",5.30,1.799,1
2180,"decoro",9.18,2.219,2
2181,"dejado",6.14,2.167,1
2182,"delfín",4.28,1.654,2
2183,"delito",9.00,1.761,2
2184,"demora",9.62,1.915,2
2185,"dental",6.50,2.460,3
2186,"dentro",3.58,1.458,4
2187,"desdén",9.92,2.108,2
2188,"desuso",9.98,1.270,2
2189,"desván",8.12,2.309,2
2190,"desvío",8.62,1.748,2
2191,"detrás",4.14,1.278,4
2192,"devoto",9.98,1.518,3
2193,"diablo",5.38,2.118,2
2194,"diario",7.18,1.792,2
2195,"dibujo",3.00,1.726,2
2196,"diente",3.16,1.315,2
2197,"dieron",5.24,1.901,1
2198,"dígame",6.18,2.585,1
2199,"dinero",4.14,1.726,2
2200,"dioses",7.06,2.094,2
2201,"divina",8.38,2.249,3
2202,"doblar",4.60,1.340,1
2203,"doblez",8.16,2.253,2
2204,"doctor",4.46,1.729,2
2205,"dominó",5.52,1.798,2
2206,"dorada",7.64,2.414,3
2207,"dorado",6.30,2.150,3
2208,"dormir",2.36,1.509,1
2209,"dragón",4.24,1.205,2
2210,"drogas",9.40,1.761,2
2211,"dúplex",9.30,1.729,2
2212,"dureza",7.10,2.140,2
2213,"efecto",8.38,1.537,2
2214,"eficaz",9.14,1.830,3
2215,"egipto",8.56,1.704,2
2216,"elegir",5.24,2.153,1
2217,"elogio",9.40,1.874,2
2218,"empecé",5.26,1.639,1
2219,"empeño",8.44,2.242,2
2220,"empezó",5.32,1.984,1
2221,"empleo",8.22,2.013,2
2222,"encaje",8.28,2.313,2
2223,"encima",5.50,2.279,4
2224,"encina",9.61,1.552,2
2225,"enfado",4.40,1.906,2
2226,"engaño",6.66,2.182,2
2227,"enigma",9.92,1.614,2
2228,"enlace",8.84,1.462,2
2229,"enorme",4.92,1.998,3
2230,"enredo",8.46,2.261,2
2231,"ensayo",7.60,2.416,2
2232,"entera",5.92,2.127,3
2233,"entero",5.98,2.199,3
2234,"entrar",3.96,1.641,1
2235,"equipo",5.44,1.809,2
2236,"éramos",5.92,1.893,1
2237,"ermita",7.94,2.142,2
2238,"escala",8.90,1.898,2
2239,"escape",8.26,1.998,2
2240,"escena",7.90,1.810,2
2241,"escoba",4.20,1.738,2
2242,"escudo",6.42,1.918,2
2243,"esfera",7.98,2.470,2
2244,"espada",5.06,2.226,2
2245,"españa",5.84,1.788,2
2246,"espejo",3.78,1.542,2
2247,"espera",4.50,2.178,1
2248,"espero",5.42,1.774,1
2249,"espiga",8.34,2.361,2
2250,"espina",5.48,2.288,2
2251,"esposa",4.92,1.926,2
2252,"esposo",6.20,2.330,2
2253,"espuma",4.62,2.089,2
2254,"estaba",4.70,1.776,1
2255,"estado",9.72,1.666,2
2256,"estafa",8.82,1.629,2
2257,"estáis",6.58,2.120,1
2258,"estaño",10.12,1.612,2
2259,"estará",5.84,2.207,1
2260,"estilo",8.76,2.181,2
2261,"estrés",9.98,1.660,2
2262,"estufa",6.58,2.269,2
2263,"estuve",5.52,1.669,1
2264,"estuvo",5.94,1.570,1
2265,"eterno",8.24,1.954,3
2266,"europa",8.14,1.852,2
2267,"evento",8.90,2.279,2
2268,"evitar",7.44,2.140,1
2269,"exacto",7.22,2.013,3
2270,"examen",6.46,1.619,2
2271,"exceso",9.10,1.843,2
2272,"excusa",8.06,1.932,2
2273,"existe",6.10,2.131,1
2274,"fábula",8.32,2.403,2
2275,"facial",8.58,2.287,3
2276,"factor",9.76,1.572,2
2277,"famoso",6.48,1.940,3
2278,"farola",5.04,2.000,2
2279,"fatiga",7.72,2.322,2
2280,"felino",7.92,2.346,3
2281,"fervor",9.18,2.833,2
2282,"fétido",9.08,1.988,3
2283,"fibras",9.08,1.736,2
2284,"fideos",4.28,1.750,2
2285,"fiebre",4.68,1.518,2
2286,"fiesta",3.98,2.343,2
2287,"figura",6.62,2.820,2
2288,"fíjate",5.92,2.069,1
2289,"filete",5.54,2.131,2
2290,"fiscal",10.20,1.309,3
2291,"física",9.58,1.797,3
2292,"físico",7.78,1.855,3
2293,"flauta",5.14,1.578,2
2294,"flecha",5.50,1.753,2
2295,"flemón",8.58,2.278,2
2296,"flores",3.70,1.607,2
2297,"folios",5.82,1.966,2
2298,"follón",7.84,2.216,2
2299,"formar",6.46,2.509,1
2300,"formas",5.38,1.772,2
2301,"formón",10.54,1.297,2
2302,"frágil",7.32,1.900,3
2303,"fraile",8.92,2.009,2
2304,"franco",9.52,1.876,2
2305,"fraude",9.64,1.699,2
2306,"fregar",5.52,2.410,1
2307,"frente",3.92,2.029,4
2308,"fresas",4.08,1.589,2
2309,"fresca",6.32,1.953,3
2310,"fresco",5.76,1.768,3
2311,"fritas",4.80,2.030,3
2312,"fritos",5.69,1.939,3
2313,"fronda",10.78,0.582,2
2314,"frutas",3.50,1.403,2
2315,"fucsia",6.74,2.761,2
2316,"fuente",4.78,1.888,2
2317,"fueran",6.30,2.121,1
2318,"fueron",5.66,2.144,1
2319,"fuerte",4.34,1.965,3
2320,"fuerza",5.20,2.010,2
2321,"fuimos",5.08,1.782,1
2322,"fulgor",10.48,1.111,2
2323,"furcia",10.00,1.400,2
2324,"fútbol",5.10,1.876,2
2325,"futuro",7.44,1.960,2
2326,"ganado",6.18,2.219,2
2327,"gancho",7.30,2.270,2
2328,"garaje",5.42,2.051,2
2329,"gasoil",8.72,1.970,2
2330,"gatito",2.28,0.991,2
2331,"gaveta",5.02,2.752,2
2332,"gélido",10.24,1.333,3
2333,"gemelo",6.72,2.295,2
2334,"género",8.60,2.204,2
2335,"genial",6.36,1.804,3
2336,"gentes",5.62,2.137,2
2337,"gentío",9.58,1.830,2
2338,"germen",9.24,2.006,2
2339,"gitano",6.34,2.520,2
2340,"global",9.24,1.506,3
2341,"gloria",7.98,2.308,2
2342,"glúteo",8.94,2.123,3
2343,"gomina",8.06,1.932,2
2344,"gorila",5.08,1.904,2
2345,"grabar",6.76,1.985,1
2346,"gracia",6.26,2.440,2
2347,"grados",8.16,1.942,2
2348,"grande",4.02,2.075,3
2349,"granja",4.62,1.576,2
2350,"granos",7.00,2.000,2
2351,"grecia",9.48,1.389,2
2352,"griega",8.92,1.782,3
2353,"griego",8.42,2.167,3
2354,"gritar",4.02,1.890,1
2355,"gritos",5.42,2.588,2
2356,"gruesa",6.04,2.070,3
2357,"grueso",6.20,2.010,3
2358,"grupos",5.86,2.070,2
2359,"guagua",4.40,1.841,2
2360,"guante",4.34,1.611,2
2361,"guarro",5.44,2.331,3
2362,"guerra",6.36,2.097,2
2363,"gusano",3.68,1.406,2
2364,"gustan",4.24,2.227,1
2365,"gustar",4.14,2.548,1
2366,"habano",9.94,1.557,2
2367,"habéis",6.82,2.561,1
2368,"habían",5.32,1.889,1
2369,"habido",6.62,2.276,1
2370,"hábito",8.94,2.104,2
2371,"hablan",4.64,1.903,1
2372,"hablar",2.58,1.630,1
2373,"habrán",6.65,1.715,1
2374,"habría",6.68,2.104,1
2375,"hacían",5.65,1.877,1
2376,"halago",8.88,1.814,2
2377,"halcón",6.40,2.286,2
2378,"halley",10.34,1.272,2
2379,"hamaca",6.62,1.828,2
2380,"hambre",2.86,1.678,2
2381,"harina",5.12,2.237,2
2382,"hastío",10.74,0.723,2
2383,"hazaña",9.34,2.016,2
2384,"hechos",6.30,2.023,3
2385,"helado",2.88,1.520,2
2386,"hélice",7.52,2.159,2
2387,"hembra",5.50,2.565,2
2388,"herida",3.98,1.911,2
2389,"herido",5.84,2.262,3
2390,"hervir",6.54,1.897,1
2391,"hierba",3.98,1.558,2
2392,"hierro",6.16,1.983,2
2393,"hígado",8.70,1.854,2
2394,"hitler",10.12,1.637,2
2395,"hombre",3.64,1.987,2
2396,"hombro",3.78,1.607,2
2397,"hórreo",10.90,0.371,2
2398,"horror",6.38,2.137,2
2399,"hostal",9.46,1.432,2
2400,"hostia",7.84,2.024,2
2401,"hostil",9.72,1.471,3
2402,"huelga",8.64,2.028,2
2403,"huella",6.02,2.403,2
2404,"huerta",5.14,2.232,2
2405,"huerto",5.18,1.769,2
2406,"huesos",5.14,1.714,2
2407,"huevos",4.14,1.309,2
2408,"humana",5.78,2.225,3
2409,"humano",6.34,2.172,3
2410,"húmedo",6.10,1.919,3
2411,"húmero",9.76,1.364,2
2412,"íbamos",5.94,2.419,1
2413,"idioma",6.34,2.115,2
2414,"idiota",4.68,1.731,3
2415,"iguana",7.08,2.329,2
2416,"imagen",5.98,1.410,2
2417,"ímpetu",9.34,2.335,2
2418,"índice",8.30,1.632,2
2419,"índole",10.40,1.278,2
2420,"infiel",9.54,1.541,3
2421,"inglés",5.16,1.920,2
2422,"inicio",6.76,2.134,2
2423,"innato",10.10,1.374,3
2424,"íntimo",8.40,2.010,3
2425,"inútil",7.86,2.109,3
2426,"ironía",9.96,1.399,2
2427,"irreal",8.82,2.145,3
2428,"italia",7.84,1.811,2
2429,"jabalí",6.86,2.119,2
2430,"jarabe",4.70,1.887,2
2431,"jardín",4.18,1.903,2
2432,"jarrón",4.76,1.825,2
2433,"javier",4.10,1.799,2
2434,"jazmín",8.02,2.369,2
2435,"jersey",5.30,2.659,2
2436,"jinete",7.24,2.344,2
2437,"jirafa",3.40,1.443,2
2438,"jornal",9.04,2.587,2
2439,"joroba",7.06,2.377,2
2440,"jovial",10.24,1.080,3
2441,"júbilo",10.30,1.344,2
2442,"judías",5.54,1.752,2
2443,"jueces",7.70,2.013,2
2444,"juegos",2.92,1.455,2
2445,"juerga",9.86,1.641,2
2446,"jueves",4.34,1.599,2
2447,"jugada",6.64,2.078,2
2448,"jugado",4.46,1.705,1
2449,"juicio",8.70,1.909,2
2450,"jungla",7.14,2.507,2
2451,"juntar",5.24,1.847,1
2452,"juntos",4.66,1.955,3
2453,"jurado",8.78,2.023,2
2454,"labios",3.70,1.821,2
2455,"lácteo",8.48,2.033,3
2456,"ladera",7.74,2.146,2
2457,"ladrar",3.86,1.666,1
2458,"ladrón",5.52,1.752,2
2459,"lancha",6.26,2.328,2
2460,"largas",5.80,2.373,3
2461,"largos",5.12,2.300,3
2462,"latido",6.82,2.256,2
2463,"látigo",6.72,1.863,2
2464,"latina",8.52,1.961,2
2465,"laurel",7.18,2.057,2
2466,"lavabo",3.72,1.750,2
2467,"lector",7.00,2.050,2
2468,"legión",9.70,1.607,2
2469,"lejano",6.68,2.065,3
2470,"lengua",3.22,1.433,2
2471,"lentes",8.40,2.330,2
2472,"lesión",8.04,2.050,2
2473,"letras",3.74,1.614,2
2474,"levita",10.60,1.178,2
2475,"libras",9.26,1.794,2
2476,"libres",6.46,2.012,3
2477,"libros",3.98,1.392,2
2478,"liebre",5.52,2.297,2
2479,"lienzo",8.62,2.346,2
2480,"ligera",7.71,1.780,3
2481,"ligero",7.02,2.124,3
2482,"límite",7.78,1.877,2
2483,"limpia",4.36,1.735,3
2484,"limpio",3.86,1.471,3
2485,"linaje",10.64,0.802,2
2486,"líneas",4.84,1.742,2
2487,"litera",5.60,2.304,2
2488,"llaman",5.00,2.040,1
2489,"llamar",4.36,1.804,1
2490,"llamas",6.00,1.927,2
2491,"llanto",4.40,2.365,2
2492,"llaves",4.60,2.030,2
2493,"llegan",5.00,2.185,1
2494,"llegar",4.20,1.917,1
2495,"llegue",5.54,1.787,1
2496,"llegué",5.20,1.761,1
2497,"llevan",5.46,2.062,1
2498,"llevar",5.10,1.799,1
2499,"llevas",5.48,1.776,1
2500,"llorar",2.84,1.476,1
2501,"llorón",4.14,1.863,3
2502,"llover",3.76,1.673,1
2503,"lluvia",2.96,1.277,2
2504,"locura",7.42,2.091,2
2505,"lógica",9.68,1.609,2
2506,"lógico",8.75,1.572,3
2507,"lograr",6.65,2.077,1
2508,"luchar",5.42,1.703,1
2509,"lunera",8.90,2.873,4
2510,"lustro",9.80,1.641,2
2511,"maceta",5.14,1.773,3
2512,"machín",9.91,1.359,2
2513,"madera",6.02,2.325,2
2514,"madres",2.34,1.319,2
2515,"madrid",7.36,1.935,2
2516,"mágica",5.02,2.005,3
2517,"mágico",5.32,1.834,3
2518,"mahoma",9.90,1.764,2
2519,"maldad",6.66,2.670,2
2520,"maleta",3.84,1.419,2
2521,"mallas",7.12,2.362,2
2522,"mancha",3.58,1.774,2
2523,"mandar",5.60,2.040,1
2524,"manejo",9.02,2.025,2
2525,"manera",7.04,2.185,2
2526,"mangas",5.20,1.591,2
2527,"mantel",4.66,1.722,2
2528,"manual",8.18,1.826,2
2529,"manuel",3.96,1.784,2
2530,"mañana",3.70,1.403,2
2531,"marcha",8.52,2.073,2
2532,"marfil",8.20,2.010,2
2533,"margen",6.70,2.013,2
2534,"marido",5.28,2.100,2
2535,"marina",7.78,2.376,2
2536,"mármol",7.94,2.377,2
2537,"marrón",3.40,1.969,3
2538,"martes",4.18,1.438,2
2539,"mártir",10.00,1.429,3
2540,"matriz",10.24,1.238,2
2541,"máxima",8.48,2.043,3
2542,"máximo",7.00,1.370,3
2543,"medias",5.50,2.043,2
2544,"médica",5.84,2.044,3
2545,"médico",3.62,1.937,3
2546,"medida",7.72,2.061,2
2547,"medios",7.30,2.375,2
2548,"médula",9.66,1.698,2
2549,"mejora",7.44,2.111,2
2550,"melena",5.66,2.056,2
2551,"mental",8.68,1.974,3
2552,"mentón",8.74,2.211,2
2553,"merece",7.56,1.908,1
2554,"mérito",9.50,1.753,2
2555,"meseta",8.46,1.787,2
2556,"mesita",3.72,1.642,2
2557,"metido",5.54,1.821,1
2558,"método",9.18,1.804,2
2559,"metros",6.72,1.485,2
2560,"méxico",8.33,1.339,2
2561,"mezcla",6.64,2.087,2
2562,"mierda",4.56,2.331,2
2563,"miguel",4.38,2.212,2
2564,"millón",6.84,1.867,2
2565,"mimbre",8.78,1.920,2
2566,"minero",7.06,2.385,3
2567,"mínima",7.56,2.091,3
2568,"mínimo",6.98,2.015,3
2569,"minuto",5.94,1.994,2
2570,"miopía",9.18,1.769,2
2571,"mirada",5.38,2.285,2
2572,"misión",7.00,2.250,2
2573,"mismas",6.10,2.063,4
2574,"mismos",5.16,2.173,4
2575,"modelo",6.62,1.772,2
2576,"mofeta",7.24,2.105,2
2577,"mojada",5.12,2.635,3
2578,"mojado",3.54,1.555,3
2579,"molino",5.24,1.697,2
2580,"moneda",4.24,1.506,2
2581,"monjas",5.88,2.173,2
2582,"montar",5.66,2.463,1
2583,"montón",4.54,2.022,2
2584,"morada",8.16,2.675,2
2585,"morado",5.18,2.097,3
2586,"morder",3.52,1.843,1
2587,"morena",4.91,1.300,2
2588,"moreno",4.56,1.692,2
2589,"morgue",10.40,1.429,2
2590,"mortal",7.94,2.226,3
2591,"moruno",9.90,1.542,3
2592,"motivo",7.70,1.502,2
2593,"motora",8.92,1.828,2
2594,"muchas",4.00,1.666,4
2595,"muchos",4.06,1.932,4
2596,"mueble",4.10,1.249,2
2597,"muelle",6.34,2.438,2
2598,"muerte",5.74,2.107,2
2599,"muerto",5.88,2.210,3
2600,"muleta",6.28,1.762,2
2601,"muñeca",2.66,1.394,2
2602,"muñeco",2.44,1.198,2
2603,"música",3.82,1.561,2
2604,"músico",6.16,2.054,2
2605,"nacido",5.60,2.030,1
2606,"nación",9.02,1.720,2
2607,"nailon",9.06,2.141,2
2608,"narrar",7.38,2.108,1
2609,"navaja",7.26,2.414,2
2610,"néctar",7.88,2.144,2
2611,"negros",4.98,1.425,2
2612,"nervio",8.04,2.267,2
2613,"nevada",6.70,2.159,2
2614,"nevera",4.02,1.558,2
2615,"niebla",6.36,2.354,2
2616,"ningún",5.18,1.945,4
2617,"niñera",6.20,2.424,2
2618,"noches",3.43,1.020,2
